Fire_ID_1,Fire_ID_2,Reburn_ID,Polygon_ID,Reburn_Interval,Ecoregion,N_Rockies,FRG_max4,departure
OR4473312173020120804,OR4472312167920200817,OR4473312173020120804_OR4472312167920200817,1,8,Cascades,Pacific Northwest,Mixed,0.029358355810507743
CA4189812322019870830,CA4188812325320120805,CA4189812322019870830_CA4188812325320120805,1,25,Klamath Mountains,Pacific Northwest,Low,0.03494136138314593
CA3986612313320120818,CA3966012280920200817,CA3986612313320120818_CA3966012280920200817,1,8,Klamath Mountains,Pacific Northwest,Low,0.011676921186688805
CA3986612313320120818,CA3966012280920200817,CA3986612313320120818_CA3966012280920200817,2,8,Klamath Mountains,Pacific Northwest,Low,0.010506241737156707
CA3931912270720120707,CA3924012311020180727,CA3931912270720120707_CA3924012311020180727,1,6,Klamath Mountains,Pacific Northwest,Low,0.008720502018089235
ID4624611454319880814,ID4631911465120120808,ID4624611454319880814_ID4631911465120120808,1,24,Idaho Batholith,Northern Rockies,Mixed,0.01429982595606582
ID4565911500219880824,ID4569811508120120809,ID4565911500219880824_ID4569811508120120809,1,24,Idaho Batholith,Northern Rockies,Mixed,0.1139074177916522
ID4570211495320050808,ID4569811508120120809,ID4570211495320050808_ID4569811508120120809,1,7,Idaho Batholith,Northern Rockies,High,0.08183301946013827
ID4604911480020030821,ID4606011473320120728,ID4604911480020030821_ID4606011473320120728,1,9,Idaho Batholith,Northern Rockies,Low,0
ID4537211447019850720,ID4542411459020120730,ID4537211447019850720_ID4542411459020120730,1,27,Idaho Batholith,Northern Rockies,Low,0.10729535367155456
ID4557011468119960723,ID4542411459020120730,ID4557011468119960723_ID4542411459020120730,1,16,Idaho Batholith,Northern Rockies,Low,0.04463247379611642
ID4541611481219980807,ID4542411459020120730,ID4541611481219980807_ID4542411459020120730,1,14,Idaho Batholith,Northern Rockies,Low,0.023770774769443122
ID4536811434319980816,ID4542411459020120730,ID4536811434319980816_ID4542411459020120730,1,14,Idaho Batholith,Northern Rockies,Low,0.015234315371699081
ID4557311483220000731,ID4542411459020120730,ID4557311483220000731_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Mixed,0.03491844704801304
ID4550511424720000817,ID4542411459020120730,ID4550511424720000817_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Mixed,0.03443078817211159
ID4551811500220000731,ID4542411459020120730,ID4551811500220000731_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Low,0.005564387917328981
ID4546811459920000731,ID4542411459020120730,ID4546811459920000731_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Low,0.04931942725826426
ID4546711474120000805,ID4542411459020120730,ID4546711474120000805_ID4542411459020120730,1,12,Idaho Batholith,Northern Rockies,Low,0.1805650684931506
ID4544311453220020804,ID4542411459020120730,ID4544311453220020804_ID4542411459020120730,1,10,Idaho Batholith,Northern Rockies,Mixed,0.11753283710341586
ID4550011471520050801,ID4542411459020120730,ID4550011471520050801_ID4542411459020120730,1,7,Idaho Batholith,Northern Rockies,Mixed,0.17938088697017252
ID4568011472320070706,ID4542411459020120730,ID4568011472320070706_ID4542411459020120730,1,5,Idaho Batholith,Northern Rockies,Mixed,0.0020399592008158913
ID4568011472320070706,ID4542411459020120730,ID4568011472320070706_ID4542411459020120730,2,5,Idaho Batholith,Northern Rockies,Mixed,1.6437635610461188e-5
ID4640811494519940802,ID4639911493920120808,ID4640811494519940802_ID4639911493920120808,1,18,Idaho Batholith,Northern Rockies,High,0.11517963952161718
MT4620711124920000815,MT4617911126920120910,MT4620711124920000815_MT4617911126920120910,1,12,Middle Rockies,Northern Rockies,Low,0
ID4446211511519980823,ID4444511516620120727,ID4446211511519980823_ID4444511516620120727,1,14,Idaho Batholith,Northern Rockies,High,0.14024306978014456
ID4444511516620120727,ID4451711501920190710,ID4444511516620120727_ID4451711501920190710,1,7,Idaho Batholith,Northern Rockies,Mixed,0.12237137316043657
MT4755711337219850629,MT4760011331820030718,MT4755711337219850629_MT4760011331820030718,1,18,Canadian Rockies,Northern Rockies,High,0.0423793771179603
ID4543311548219850715,ID4554811559420070713,ID4543311548219850715_ID4554811559420070713,1,22,Idaho Batholith,Northern Rockies,Low,0.0010041000753074555
ID4512611554919850708,ID4521611552119940811,ID4512611554919850708_ID4521611552119940811,1,9,Idaho Batholith,Northern Rockies,Mixed,0.07879340962904514
ID4540311601419850717,ID4520811624820150812,ID4540311601419850717_ID4520811624820150812,1,30,Idaho Batholith,Northern Rockies,Low,0.007280630263515189
ID4540311601419850717,ID4520811624820150812,ID4540311601419850717_ID4520811624820150812,2,30,Idaho Batholith,Northern Rockies,Low,0
CA4080812321419850726,CA4095112320220060902,CA4080812321419850726_CA4095112320220060902,1,21,Klamath Mountains,Pacific Northwest,Low,0.013632038750972962
ID4529711522619860811,ID4524911525120050807,ID4529711522619860811_ID4524911525120050807,1,19,Idaho Batholith,Northern Rockies,Mixed,0.07901186665373298
ID4529711522619860811,ID4549011522720170729,ID4529711522619860811_ID4549011522720170729,1,31,Idaho Batholith,Northern Rockies,High,0.12374503852439876
ID4543811494219860812,ID4543911498720050801,ID4543811494219860812_ID4543911498720050801,1,19,Idaho Batholith,Northern Rockies,Low,0
ID4543811494219860812,ID4537411488820070616,ID4543811494219860812_ID4537411488820070616,1,21,Idaho Batholith,Northern Rockies,Low,0.0036883356385430666
OR4454311774919860802,OR4458511775220150810,OR4454311774919860802_OR4458511775220150810,1,29,Blue Mountains,Pacific Northwest,Low,0.21702844604654806
OR4558711675719860812,OR4561911679520010814,OR4558711675719860812_OR4561911679520010814,1,15,Blue Mountains,Pacific Northwest,Low,0
ID4535711661519860811,ID4539911656820050806,ID4535711661519860811_ID4539911656820050806,1,19,Blue Mountains,Pacific Northwest,Low,0.008089799574515975
OR4259412369419870830,OR4261412376020130726,OR4259412369419870830_OR4261412376020130726,1,26,Klamath Mountains,Pacific Northwest,Low,0.012034213121144801
OR4291712307519870715,OR4294312309320040820,OR4291712307519870715_OR4294312309320040820,1,17,Klamath Mountains,Pacific Northwest,Low,0.024745071380013414
OR4291712307519870715,OR4292412304820150730,OR4291712307519870715_OR4292412304820150730,1,28,Klamath Mountains,Pacific Northwest,Low,0.109510877019724
OR4288312327419870830,OR4292012329520190725,OR4288312327419870830_OR4292012329520190725,1,32,Klamath Mountains,Pacific Northwest,Low,0.10881947634359203
CA4175612352619870830,CA4178612347520170812,CA4175612352619870830_CA4178612347520170812,1,30,Klamath Mountains,Pacific Northwest,Low,0.0423447547008497
ID4536811556319870912,ID4510511570820070706,ID4536811556319870912_ID4510511570820070706,1,20,Idaho Batholith,Northern Rockies,Mixed,0.04408769036763994
ID4448411541019870804,ID4451811531020060807,ID4448411541019870804_ID4451811531020060807,1,19,Idaho Batholith,Northern Rockies,High,0.04723985381804192
ID4448411541019870804,ID4475011554820070717,ID4448411541019870804_ID4475011554820070717,1,20,Idaho Batholith,Northern Rockies,High,0.04893695014662748
CA4141212331619870830,CA4142612330620060724,CA4141212331619870830_CA4142612330620060724,1,19,Klamath Mountains,Pacific Northwest,Low,0.010264416040589178
CA4141212331619870830,CA4134912330820080620,CA4141212331619870830_CA4134912330820080620,1,21,Klamath Mountains,Pacific Northwest,Low,0.009079130032392456
CA4141212331619870830,CA4130012313520130731,CA4141212331619870830_CA4130012313520130731,1,26,Klamath Mountains,Pacific Northwest,Low,0.054115989320676273
CA4119312328919870830,CA4119412345820200727,CA4119312328919870830_CA4119412345820200727,1,33,Klamath Mountains,Pacific Northwest,Low,0.04251063914500951
