Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
OR4473312173020120804_OR4472312167920200817,1,Both,8,NA,NA,Cascades,Pacific Northwest,Mixed,2,2.8543457943925232,23.314376012965962,769.0554016351693,260.39978390059423,9.781749172805105,0.011142948414007222,610.83,4967.267005420432,0.12297104209084067
OR4473312173020120804_OR4472312167920200817,1,Either,8,NA,NA,Cascades,Pacific Northwest,Mixed,2,23.0706,1513.7468019037217,735.8170655274574,106.10907388624483,495.3556020217001,0.3745117784024866,2307.06,4967.267005420432,0.46445258478806684
OR4473312173020120804_OR4472312167920200817,1,Fire_1,8,OR4473312173020120804,2012,Cascades,Pacific Northwest,Mixed,2,24.95797297297297,572.4733078310023,580.8350462211914,104.15346880431429,395.4721312641182,0.14543812507192838,1846.8899999999999,4967.267005420432,0.37181210472169457
OR4473312173020120804_OR4472312167920200817,1,Fire_2,8,OR4472312167920200817,2020,Cascades,Pacific Northwest,Mixed,2,6.69375,52.901319327731095,626.6338680535391,208.29131652661064,26.88488114853513,0.022539557442317046,1071,4967.267005420432,0.2156115221572129
CA4189812322019870830_CA4188812325320120805,1,Both,25,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,10.289387755102041,76.17128525526599,513.2803486033328,158.43547939228054,103.15098308199887,0.01900010043563043,1512.54,9284.161449441675,0.16291616730673722
CA4189812322019870830_CA4188812325320120805,1,Either,25,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,12.053169642857142,269.9675299176639,576.5564277821761,133.04887940709136,367.11274411793204,0.07627183174874501,2699.91,9284.161449441675,0.29080816988187613
CA4189812322019870830_CA4188812325320120805,1,Fire_1,25,CA4189812322019870830,1987,Klamath Mountains,Pacific Northwest,Low,2,11.472857142857142,114.0497203692833,518.2896461952048,142.94608392479142,180.06879644270884,0.02956648282075143,1686.51,9284.161449441675,0.18165453166493806
CA4189812322019870830_CA4188812325320120805,1,Fire_2,25,CA4188812325320120805,2012,Klamath Mountains,Pacific Northwest,Low,2,11.97127962085308,158.92973206014395,545.3092515864172,142.23615762844722,267.575330964075,0.037622137648306984,2525.94,9284.161449441675,0.2720698055236753
CA3986612313320120818_CA3966012280920200817,1,Both,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,4.297924528301887,21.795397076254446,563.6218450497336,227.8414328987225,10.153495934931154,0.0064344321396813346,683.37,7832.859047371359,0.08724400577964353
CA3986612313320120818_CA3966012280920200817,1,Either,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,5.902769784172662,57.50682114846706,650.5818348561871,180.88082049031973,85.83229811271636,0.016373331784010542,1640.97,7832.859047371359,0.2094982164335889
CA3986612313320120818_CA3966012280920200817,1,Fire_1,8,CA3986612313320120818,2012,Klamath Mountains,Pacific Northwest,Low,2,6.2284931506849315,52.90274346793349,581.1740166388455,184.65734142693765,66.3528163214955,0.0163158814970491,1364.04,7832.859047371359,0.1741433098375184
CA3986612313320120818_CA3966012280920200817,1,Fire_2,8,CA3966012280920200817,2020,Klamath Mountains,Pacific Northwest,Low,2,5.107978723404256,30.785195876288658,594.010470940905,209.68447360199937,28.826754675831204,0.011076415326165727,960.3000000000001,7832.859047371359,0.12259891237571402
CA3986612313320120818_CA3966012280920200817,2,Both,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,3.61046511627907,28.599495652173914,599.9910843757834,253.33333333333334,4.094213897433272,0.024166877577977648,310.5,3232.5235127266824,0.09605498576500332
CA3986612313320120818_CA3966012280920200817,2,Either,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,9.37747572815534,122.34391352963102,618.7415974833884,144.61423779351472,92.95793400826189,0.08761885223259869,965.88,3232.5235127266824,0.2988006107913089
CA3986612313320120818_CA3966012280920200817,2,Fire_1,8,CA3986612313320120818,2012,Klamath Mountains,Pacific Northwest,Low,2,9.875357142857142,127.54236193989367,569.3800797893249,143.28595710824203,86.05419012099085,0.08745180008344215,829.53,3232.5235127266824,0.25661994312928565
CA3986612313320120818_CA3966012280920200817,2,Fire_2,8,CA3966012280920200817,2020,Klamath Mountains,Pacific Northwest,Low,2,4.606701030927836,35.02087613293051,598.499934058727,223.69922792883517,10.147725897042662,0.024723718075166073,446.85,3232.5235127266824,0.1382356534270265
CA3931912270720120707_CA3924012311020180727,1,Both,6,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,3.1086627906976743,19.20841777478539,662.5678454437932,265.3874207484711,2.5718808024574633,0.007750248110688864,534.69,6537.855211385782,0.08178370164405425
