Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,gm_Date,eddi30d,spei30d,FRG_max4
CA4192312065019840813,226,First,CA4192312065019840813_OR4211012080120120806_1,1984,1984-245,-0.342584635,1.034629124,Mixed
ID4537211447019850720,201,First,ID4537211447019850720_ID4542411459020120730_1,1985,1985-220,-0.229662824,0.604636176,Low
MT4755711337219850629,180,First,MT4755711337219850629_MT4760011331820030718_1,1985,1985-195,2.089999914,-2.089999914,High
ID4543311548219850715,196,First,ID4543311548219850715_ID4554811559420070713_1,1985,1985-215,0.367370391,0.402817201,Low
ID4512611554919850708,189,First,ID4512611554919850708_ID4521611552119940811_1,1985,1985-205,1.438723254,-1.690000057,Mixed
ID4540311601419850717,198,First,ID4540311601419850717_ID4520811624820150812_1,1985,1985-215,0.371995017,0.328148247,Low
ID4540311601419850717,198,First,ID4540311601419850717_ID4520811624820150812_2,1985,1985-215,0.344489876,0.350670375,Low
CA4080812321419850726,207,First,CA4080812321419850726_CA4095112320220060902_1,1985,1985-225,0.642498168,-0.52182294,Low
ID4543811494219860812,224,First,ID4543811494219860812_ID4543911498720050801_1,1986,1986-240,0.170000002,-0.113531341,Low
ID4543811494219860812,224,First,ID4543811494219860812_ID4537411488820070616_1,1986,1986-240,0.170000002,-0.071078351,Low
OR4558711675719860812,224,First,OR4558711675719860812_OR4561911679520010814_1,1986,1986-240,1.00999999,-0.591772621,Low
OR4454311774919860802,214,First,OR4454311774919860802_OR4458511775220150810_1,1986,1986-230,0.800000012,-1.257721677,Low
ID4529711522619860811,223,First,ID4529711522619860811_ID4524911525120050807_1,1986,1986-240,0.074216707,-0.064116616,Mixed
ID4529711522619860811,223,First,ID4529711522619860811_ID4549011522720170729_1,1986,1986-240,0.001902967,-9.61e-4,High
ID4535711661519860811,223,First,ID4535711661519860811_ID4539911656820050806_1,1986,1986-240,0.838462952,-0.62875126,Low
ID4536811556319870912,255,First,ID4536811556319870912_ID4510511570820070706_1,1987,1987-270,0.933435903,-1.10116678,Mixed
ID4448411541019870804,216,First,ID4448411541019870804_ID4451811531020060807_1,1987,1987-235,-0.033012462,0.011551077,High
ID4448411541019870804,216,First,ID4448411541019870804_ID4475011554820070717_1,1987,1987-235,-0.080403871,0.029999999,High
CA4189812322019870830,242,First,CA4189812322019870830_CA4188812325320120805_1,1987,1987-260,0.668122115,-0.749669272,Low
OR4259412369419870830,242,First,OR4259412369419870830_OR4261412376020130726_1,1987,1987-260,0.982834697,-1.100356079,Low
OR4288312327419870830,242,First,OR4288312327419870830_OR4292012329520190725_1,1987,1987-260,1.143234818,-1.293766013,Low
CA4175612352619870830,242,First,CA4175612352619870830_CA4178612347520170812_1,1987,1987-260,0.52722735,-0.677124138,Low
CA4141212331619870830,242,First,CA4141212331619870830_CA4142612330620060724_1,1987,1987-260,0.121432985,-0.659520389,Low
CA4141212331619870830,242,First,CA4141212331619870830_CA4134912330820080620_1,1987,1987-260,0.070864629,-0.545131747,Low
CA4141212331619870830,242,First,CA4141212331619870830_CA4130012313520130731_1,1987,1987-260,0.092135103,-0.321273544,Low
CA4119312328919870830,242,First,CA4119312328919870830_CA4119412345820200727_1,1987,1987-260,-0.170290305,-0.076988516,Low
CA4189812322019870830,242,First,CA4189812322019870830_CA4198012316420170811_1,1987,1987-260,0.709999979,-0.750537443,Low
CA4165612314419870830,242,First,CA4165612314419870830_CA4179612337420140814_1,1987,1987-260,0.652274922,-0.720811754,Low
CA4175812328419870830,242,First,CA4175812328419870830_CA4179612337420140814_1,1987,1987-260,0.709603981,-0.832354767,Low
CA4193012339419870830,242,First,CA4193012339419870830_CA4185812335420200908_1,1987,1987-260,0.690892591,-0.730551888,Low
CA4183412334819870830,242,First,CA4183412334819870830_CA4185812335420200908_1,1987,1987-260,0.694867514,-0.709999979,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4160912335520060723_1,1987,1987-260,0.709974679,-0.710004914,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4168112341420070710_1,1987,1987-260,0.613994502,-0.70145821,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4154112338120080722_1,1987,1987-260,0.466910497,-0.688124624,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4154112338120080722_2,1987,1987-260,0.709999979,-0.777989523,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4179612337420140814_1,1987,1987-260,0.709999979,-0.735867367,Low
CA4048312320019870830,242,First,CA4048312320019870830_CA4049212319820150803_1,1987,1987-260,-0.029111959,-0.123178376,Low
CA4052712339819870830,242,First,CA4052712339819870830_CA4049512341220080620_1,1987,1987-260,0.061765358,-0.364486582,Low
CA4065812346619870830,242,First,CA4065812346619870830_CA4068012335620150731_1,1987,1987-260,0.126964716,-0.269516696,Low
CA4057812346719870830,242,First,CA4057812346719870830_CA4064212358620150731_1,1987,1987-260,0.046135391,-0.218453534,Low
CA4065412339719870830,242,First,CA4065412339719870830_CA4068012335620150731_1,1987,1987-260,0.05055502,-0.270148819,Low
