Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,erc_max_max,erc_max_mean,erc_mean_max,erc_mean_mean,vpd_max_max,vpd_max_mean,vpd_mean_max,vpd_mean_mean,FRG_max4
CA4192312065019840813,226,First,CA4192312065019840813_OR4211012080120120806_1,1984,69.39059448,65.64179395,64.49785614,61.04478261,2.235352278,2.192453907,1.505166411,1.473712937,Mixed
ID4537211447019850720,201,First,ID4537211447019850720_ID4542411459020120730_1,1985,84.08462524,78.90114751,70.84692383,64.80467194,3.143842936,2.429626976,2.266857147,1.723368555,Low
MT4755711337219850629,180,First,MT4755711337219850629_MT4760011331820030718_1,1985,70.88787079,68.60157471,57.59482193,52.96662378,2.435073137,2.10132831,1.591692209,1.343014806,High
ID4543311548219850715,196,First,ID4543311548219850715_ID4554811559420070713_1,1985,78.30241394,75.31602443,69.45450592,66.29781943,3.096581936,2.651663186,2.430258036,2.067300365,Low
ID4512611554919850708,189,First,ID4512611554919850708_ID4521611552119940811_1,1985,79.54879761,74.73952647,71.61945343,66.17347614,2.731436729,2.209555752,2.03600502,1.628366323,Mixed
ID4540311601419850717,198,First,ID4540311601419850717_ID4520811624820150812_1,1985,84.17845917,83.67039879,71.31510925,70.48697425,3.130947351,2.879281308,2.416499138,2.213777269,Low
ID4540311601419850717,198,First,ID4540311601419850717_ID4520811624820150812_2,1985,83.54641724,82.62308899,70.45200348,69.45660227,3.027580261,2.817757729,2.323971987,2.157558796,Low
CA4080812321419850726,207,First,CA4080812321419850726_CA4095112320220060902_1,1985,89.11795044,86.73149256,79.31983948,75.21855207,3.826542377,3.43955046,2.413598776,2.140573059,Low
ID4543811494219860812,224,First,ID4543811494219860812_ID4543911498720050801_1,1986,70.69971466,69.29713945,59.46878815,58.11403576,2.706762075,2.528887071,1.930762649,1.819267915,Low
ID4543811494219860812,224,First,ID4543811494219860812_ID4537411488820070616_1,1986,71.78599548,70.9376673,60.08788681,59.59929991,2.621206999,2.582734809,1.89298141,1.85494002,Low
OR4558711675719860812,224,First,OR4558711675719860812_OR4561911679520010814_1,1986,85.28790283,83.9181187,75.99594116,74.73590032,3.135590076,3.00913866,2.266299248,2.165537426,Low
OR4454311774919860802,214,First,OR4454311774919860802_OR4458511775220150810_1,1986,82.49209595,80.17919962,73.23518372,71.06580997,2.799257278,2.691498082,1.991323948,1.911498437,Low
ID4529711522619860811,223,First,ID4529711522619860811_ID4524911525120050807_1,1986,69.43561554,65.351731,58.95168686,55.23682159,1.797176719,1.647628287,1.25026226,1.141667575,Mixed
ID4529711522619860811,223,First,ID4529711522619860811_ID4549011522720170729_1,1986,69.43561554,67.11773777,58.95168686,56.88792595,1.848903894,1.771690922,1.283661842,1.236192418,High
ID4535711661519860811,223,First,ID4535711661519860811_ID4539911656820050806_1,1986,87.24742889,84.40431741,79.47059631,75.96620048,3.350066423,2.837001951,2.437044859,2.037191587,Low
ID4536811556319870912,255,First,ID4536811556319870912_ID4510511570820070706_1,1987,71.40939331,69.75588262,59.41184998,57.88119589,2.659340858,2.276922829,1.685180187,1.458447067,Mixed
ID4448411541019870804,216,First,ID4448411541019870804_ID4451811531020060807_1,1987,68.282341,67.37189809,54.5656662,52.58444689,2.070766449,1.803134376,1.286268592,1.106083278,High
ID4448411541019870804,216,First,ID4448411541019870804_ID4475011554820070717_1,1987,68.33005524,67.26529143,53.30835724,52.45144664,1.816551685,1.787705631,1.08219099,1.057002011,High
CA4189812322019870830,242,First,CA4189812322019870830_CA4188812325320120805_1,1987,81.38871765,78.99186261,75.10041046,72.24862422,4.024660587,3.589196518,2.180299044,1.933611129,Low
OR4259412369419870830,242,First,OR4259412369419870830_OR4261412376020130726_1,1987,78.05204773,77.47487315,71.02470398,70.22770875,3.887989044,3.412743103,2.031532526,1.815020246,Low
OR4288312327419870830,242,First,OR4288312327419870830_OR4292012329520190725_1,1987,73.02319336,71.77136982,65.4071579,62.31121778,3.541602135,3.468349491,1.903740644,1.84501083,Low
CA4175612352619870830,242,First,CA4175612352619870830_CA4178612347520170812_1,1987,82.82528687,80.45665422,76.13040924,73.1720334,4.09070158,3.825005418,2.219847679,2.04539331,Low
CA4141212331619870830,242,First,CA4141212331619870830_CA4142612330620060724_1,1987,81.10583496,79.2896705,74.72055054,72.59390464,4.109347343,3.66621147,2.203108788,1.986414469,Low
CA4141212331619870830,242,First,CA4141212331619870830_CA4134912330820080620_1,1987,80.48212433,78.17654264,73.91889954,71.17775237,4.109347343,3.446505315,2.217805862,1.83676998,Low
CA4141212331619870830,242,First,CA4141212331619870830_CA4130012313520130731_1,1987,79.39659882,76.51216062,73.10510254,69.27100961,3.852904081,3.343336299,2.063258886,1.793199645,Low
CA4119312328919870830,242,First,CA4119312328919870830_CA4119412345820200727_1,1987,78.74562836,77.0754133,71.90441132,69.60069715,3.996606588,3.658763587,2.128731012,1.927206064,Low
CA4189812322019870830,242,First,CA4189812322019870830_CA4198012316420170811_1,1987,81.38871765,77.5319446,74.60021973,70.87198291,3.972283363,3.327632213,2.180299044,1.811278535,Low
CA4165612314419870830,242,First,CA4165612314419870830_CA4179612337420140814_1,1987,82.40948486,81.91698824,76.48849487,75.7590035,3.712734222,3.468051619,2.058774948,1.917847276,Low
CA4175812328419870830,242,First,CA4175812328419870830_CA4179612337420140814_1,1987,82.48446655,80.3193845,75.87599945,73.23086303,4.19293499,3.894518549,2.213282585,2.092965982,Low
CA4193012339419870830,242,First,CA4193012339419870830_CA4185812335420200908_1,1987,82.38562775,80.69674963,76.58700562,74.21478735,3.910825968,3.610388746,2.122902632,1.938530208,Low
CA4183412334819870830,242,First,CA4183412334819870830_CA4185812335420200908_1,1987,82.91049194,78.27862502,76.8890686,71.00366536,4.181798935,4.096608482,2.22110939,2.197274211,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4160912335520060723_1,1987,82.27315521,79.17851309,75.95048523,72.43093421,3.916734934,3.223916631,2.095166206,1.750972702,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4168112341420070710_1,1987,82.30212402,79.27973841,76.03091431,72.26888664,4.244783401,4.096379659,2.265404463,2.189329113,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4154112338120080722_1,1987,83.97386169,80.67930881,77.52454376,73.69870546,4.244783401,3.703542828,2.265404463,2.007108347,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4154112338120080722_2,1987,81.83519745,81.1549668,75.91525269,74.72740217,3.801041842,3.560114507,2.030436039,1.928130479,Low
CA4163812338919870830,242,First,CA4163812338919870830_CA4179612337420140814_1,1987,82.48446655,80.79107058,75.81552887,73.51964313,4.112383842,3.938467203,2.224900484,2.12574617,Low
CA4048312320019870830,242,First,CA4048312320019870830_CA4049212319820150803_1,1987,70.73626709,62.51015428,61.73808289,54.5009018,3.400812387,3.220161826,1.9765346050000001,1.883474413,Low
CA4052712339819870830,242,First,CA4052712339819870830_CA4049512341220080620_1,1987,78.98079681,74.61748839,70.9772644,65.76958493,3.686069489,3.358274261,2.088873148,1.938416792,Low
CA4065812346619870830,242,First,CA4065812346619870830_CA4068012335620150731_1,1987,76.89495087,72.02526071,68.45648956,62.74174265,4.142493725,3.717079379,2.267638445,2.094489028,Low
CA4057812346719870830,242,First,CA4057812346719870830_CA4064212358620150731_1,1987,73.03853607,72.00588035,63.90187073,62.8658313,3.880870581,3.689834417,2.21311903,2.11765002,Low
CA4065412339719870830,242,First,CA4065412339719870830_CA4068012335620150731_1,1987,76.89495087,73.38823846,68.45648956,64.10376646,3.569928646,3.508578316,2.062481403,2.012076953,Low
CA4040412333919870830,242,First,CA4040412333919870830_CA3966012280920200817_1,1987,77.89356995,74.13671307,69.9281311,65.53420443,3.266824007,3.032119754,1.902182221,1.767661851,Low
CA4044812339819870830,242,First,CA4044812339819870830_CA4049512341220080620_1,1987,75.31352997,74.73303545,66.89897919,66.15722981,3.466720104,3.282107741,2.008821964,1.90653093,Low
CA4105412315719870830,242,First,CA4105412315719870830_CA4095112320220060902_1,1987,73.05898285,70.79892084,66.08743286,64.62189171,2.953869581,2.700447677,1.520379782,1.389472823,Low
CA4199712363419870830,242,First,CA4199712363419870830_CA4185812335420200908_1,1987,79.02339935,75.07188685,72.54351807,67.75473116,3.698413372,3.454592395,1.902171731,1.831122236,Low
CA4199712363419870830,242,First,CA4199712363419870830_CA4185812335420200908_2,1987,79.02339935,77.41655785,72.54351807,70.17708186,3.698413372,3.495149946,1.911664724,1.854355239,Low
OR4236212395219870830,242,First,OR4236212395219870830_OR4244112390420020713_1,1987,79.27731323,76.19831247,71.33727264,68.19484812,3.891184092,3.389761717,1.973227978,1.76223821,Low
OR4328212264819870830,242,First,OR4328212264819870830_OR4328712265220020816_1,1987,71.79963684,71.59088429,63.66560364,63.4701383,3.082679987,3.058958801,1.790194631,1.774871061,Mixed
OR4493411861819870815,227,First,OR4493411861819870815_OR4492211866720090801_1,1987,74.8755722,72.59734907,61.39890671,59.10608289,2.298977137,2.257537331,1.479431987,1.443789029,Low
CA3954212303919870831,243,First,CA3954212303919870831_CA3966012280920200817_1,1987,88.05181885,79.24024994,80.02976227,70.66931016,3.671624184,3.188170352,2.217218876,1.918566188,Low
CA4009212322519870831,243,First,CA4009212322519870831_CA3966012280920200817_1,1987,83.69438934,79.97154368,75.41368866,71.1847546,3.390821934,3.011820475,1.943596959,1.719188228,Low
OR4253012367719870831,243,First,OR4253012367719870831_OR4252812357120180715_1,1987,78.97738647,77.80465349,72.10582733,70.39875064,3.694535255,3.379584679,1.92324698,1.779011742,Low
OR4291712307519870715,196,First,OR4291712307519870715_OR4294312309320040820_1,1987,70.79761505,70.08052079,53.32891464,52.5770865,2.702171326,2.605883881,1.467375875,1.404520872,Low
OR4291712307519870715,196,First,OR4291712307519870715_OR4292412304820150730_1,1987,69.68994141,68.39686806,52.17434692,50.78024614,2.702171326,2.557079702,1.467375875,1.360172007,Low
CA4174812318019870901,244,First,CA4174812318019870901_CA4179612337420140814_1,1987,82.75371552,80.5428477,76.54192352,73.76615955,4.01275301,3.289132892,2.083995342,1.758487607,Low
CA3935312277119870901,244,First,CA3935312277119870901_CA3924012311020180727_1,1987,85.09857941,80.14570845,77.42141724,71.63520332,3.344264269,2.902288958,2.007140875,1.701252163,Low
OR4457412175119870901,244,First,OR4457412175119870901_OR4451112177120030819_1,1987,69.57064819,68.33939055,61.07105637,59.66298374,2.895036936,2.560244865,1.632943511,1.441373616,Mixed
ID4554211520319880906,250,First,ID4554211520319880906_ID4555111522320030809_1,1988,77.7020874,75.14103688,68.25888824,64.68382854,2.780860186,2.456051614,1.548223615,1.368279772,Mixed
ID4612911474719880811,224,First,ID4612911474719880811_ID4610311477420070724_1,1988,76.36986542,75.66397576,67.86143494,67.1311676,2.451227903,1.993063225,1.790186763,1.435067276,Mixed
CA4018412304519880928,272,First,CA4018412304519880928_CA3966012280920200817_1,1988,83.56976318,76.10111114,62.48934174,55.35030783,2.178155899,2.078339239,1.138670325,1.083730107,Low
MT4724011275119880625,177,First,MT4724011275119880625_MT4721611299020070715_1,1988,49.2385788,48.18781911,37.37631607,36.27834462,1.871087551,1.784415873,1.153821588,1.090811866,High
MT4724011275119880625,177,First,MT4724011275119880625_MT4726811348520170724_1,1988,50.53788757,49.07004925,38.49394608,37.0503549,1.948564172,1.736880277,1.249933243,1.088055994,Low
ID4538711500819880625,177,First,ID4538711500819880625_ID4540111516420000731_1,1988,57.34626007,52.89465789,43.17089462,39.15813551,2.035553932,1.844758549,1.366277695,1.242989594,Low
ID4538711500819880625,177,First,ID4538711500819880625_ID4537411488820070616_1,1988,57.34626007,53.49484199,43.17089462,39.37540296,2.263257027,1.956404302,1.596493363,1.350354242,Low
MT4781311293519880711,193,First,MT4781311293519880711_MT4775511289820010929_1,1988,62.56081772,61.69716514,41.86845779,40.20376873,1.901976466,1.834048794,1.233638167,1.185477464,High
MT4781311293519880711,193,First,MT4781311293519880711_MT4780411300920130718_1,1988,63.64184189,62.49450647,42.58975601,41.50429778,1.871402264,1.730196723,1.233638167,1.135897803,High
ID4527011497119880711,193,First,ID4527011497119880711_ID4537411488820070616_1,1988,67.43582153,66.84512397,49.388237,48.71434307,2.100483656,2.052219691,1.322100997,1.293370782,Low
ID4527011497119880711,193,First,ID4527011497119880711_ID4549011522720170729_1,1988,67.81868744,66.65383335,49.37734222,47.82810385,2.062170744,1.941524892,1.297739506,1.209225746,High
WY4408111047019880820,233,First,WY4408111047019880820_WY4402111078620160725_1,1988,79.9957962,76.61600229,71.34324646,67.36992803,1.923504472,1.820712114,1.459923744,1.370354659,High
