Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval_1,Reburn_Interval_2,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,All,25,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,2.3275862068965516,12.25992,802.3408719083615,313.77777777777777,1.6108706477098166e-7,0.014840113773286149,202.5,1825.4577029432892,0.1109310830229031
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Any,25,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,35.2434375,656.5772635863059,689.7918117978322,96.45412709812997,209.7680219662409,0.4564937323151377,1127.79,1825.4577029432892,0.6178121783822217
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Fire_a,25,8,CA4189812322019870830,1987,Klamath Mountains,Pacific Northwest,Low,2,14.908695652173913,131.89098425196852,559.0450969316128,146.98162729658793,58.223693637353115,0.13075076985632847,685.8,1825.4577029432892,0.37568660117089847
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Fire_b,25,8,CA4188812325320120805,2012,Klamath Mountains,Pacific Northwest,Low,2,26.99470588235294,252.185595214748,595.4238435081768,125.90704059619534,115.4634514776909,0.21037463611499,917.8199999999999,1825.4577029432892,0.5027889709633625
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Fire_c,25,8,CA4190412319120200909,2020,Klamath Mountains,Pacific Northwest,Low,2,8.188448275862068,120.42864695849914,591.8338809666717,182.9322215905502,21.944449124800766,0.12360187783929692,474.93,1825.4577029432892,0.2601703667163821
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Any,10,12,NA,NA,Idaho Batholith,Northern Rockies,Low,2,1.3552941176470588,4.4708203125,794.919114233207,375,0,0.008006390667847392,46.08,1000.4508063998304,0.04605923620154904
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Fire_a,10,12,ID4552311499419900707,1990,Idaho Batholith,Northern Rockies,Low,2,1.2041379310344829,4.074123711340206,828.4799933887156,414.0893470790378,0,0.00764655288502279,34.92,1000.4508063998304,0.034904264933986386
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Fire_b,10,12,ID4551811500220000731,2000,Idaho Batholith,Northern Rockies,Low,2,3.12,7.025192307692308,663.099696807562,230.7692307692308,0,0.008006390667847392,9.36,1000.4508063998304,0.009355782353439649
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Fire_c,10,12,ID4542411459020120730,2012,Idaho Batholith,Northern Rockies,Low,2,1.8,1.8,366.6666666666667,366.6666666666667,0,0.0017991889141230095,1.8,1000.4508063998304,0.0017991889141230095
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,All,10,12,NA,NA,Idaho Batholith,Northern Rockies,Low,2,NA,NA,NA,NA,0,NA,0,1000.4508063998304,0
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Any,9,13,NA,NA,Idaho Batholith,Northern Rockies,Low,2,5.0916,40.32273627150601,734.1349628629326,208.50027496268362,4.939079680524311,0.04052078918767198,381.87,1636.9375160190662,0.23328318659876826
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Fire_a,9,13,ID4512611554919850708,1985,Idaho Batholith,Northern Rockies,Low,2,5.642608695652174,40.85095006934813,681.0653257948908,211.74294960702727,1.748290419510204,0.040740712059789595,259.56,1636.9375160190662,0.15856439079680595
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Fire_b,9,13,ID4521611552119940811,1994,Idaho Batholith,Northern Rockies,Low,2,2.615625,24.91045161290322,672.5718775808041,238.70967741935482,2.7617472896892576,0.025291130293526608,83.7,1636.9375160190662,0.05113206776734727
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Fire_c,9,13,ID4510511570820070706,2007,Idaho Batholith,Northern Rockies,Low,2,2.661923076923077,7.997126137841353,597.1671028779562,332.03294321629824,0,0.008961857038793123,69.21,1636.9375160190662,0.04228017216461295
